year,month,DT_NOTIFICACAO,SG_UF_NOT,ID_MUNICIP,DT_CARGA,count
2020,3,2020-03-09,SP,PRESIDENTE PRUDENTE,2024-08-04,1
2020,3,2020-03-24,RS,ERECHIM,2024-08-04,1
2020,3,2020-03-25,SP,RIBEIRAO PIRES,2024-08-04,3
2020,3,2020-03-26,MG,IJACI,2024-08-04,1
2020,3,2020-03-27,SP,PEREIRA BARRETO,2024-08-04,1
2020,3,2020-03-27,SP,CATANDUVA,2024-08-04,2
2020,3,2020-03-28,PR,SANTA IZABEL DO OESTE,2024-08-04,1
2020,3,2020-03-29,SP,CAMPINAS,2024-08-04,14
2020,3,2020-03-27,SP,LOUVEIRA,2024-08-04,1
2020,3,2020-03-25,SP,SANTOS,2024-08-04,15
2020,3,2020-03-26,CE,MILAGRES,2024-08-04,2
2020,3,2020-03-29,SP,OSASCO,2024-08-04,7
2020,3,2020-03-30,SP,MAUA,2024-08-04,5
2020,3,2020-03-30,RS,VENANCIO AIRES,2024-08-04,1
2020,3,2020-03-31,SP,SANTOS,2024-08-04,28
2020,4,2020-04-01,SP,VOTORANTIM,2024-08-04,1
2020,4,2020-04-01,SP,MAIRIPORA,2024-08-04,2
2020,4,2020-04-01,ES,GUARAPARI,2024-08-04,1
2020,3,2020-03-28,MG,SANTA LUZIA,2024-08-04,1
2020,4,2020-04-01,MG,AIMORES,2024-08-04,2
2020,4,2020-04-02,MG,MONTE SANTO DE MINAS,2024-08-04,1
2020,4,2020-04-03,RN,NATAL,2024-08-04,14
2020,4,2020-04-03,SP,LENCOIS PAULISTA,2024-08-04,2
2020,4,2020-04-04,CE,QUIXERAMOBIM,2024-08-04,3
2020,4,2020-04-03,PR,TOLEDO,2024-08-04,1
2020,4,2020-04-06,SP,JAU,2024-08-04,1
2020,4,2020-04-02,MG,BARAO DE COCAIS,2024-08-04,1
2020,4,2020-04-04,SP,SUZANO,2024-08-04,6
2020,4,2020-04-03,PR,CAMPO MOURAO,2024-08-04,4
2020,4,2020-04-08,AC,RIO BRANCO,2024-08-04,2
2020,4,2020-04-06,MG,MATEUS LEME,2024-08-04,1
2020,4,2020-04-02,PE,PALMARES,2024-08-04,1
2020,4,2020-04-09,SP,AVARE,2024-08-04,1
2020,4,2020-04-08,SP,SAO SEBASTIAO,2024-08-04,1
2020,4,2020-04-07,PB,SANTA RITA,2024-08-04,1
2020,4,2020-04-11,PE,CARUARU,2024-08-04,6
2020,4,2020-04-13,BA,BARREIRAS,2024-08-04,1
2020,4,2020-04-10,SP,VOTORANTIM,2024-08-04,2
2020,4,2020-04-13,RS,GETULIO VARGAS,2024-08-04,1
2020,3,2020-03-27,PR,ARAUCARIA,2024-08-04,2
2020,4,2020-04-25,MS,CAMPO GRANDE,2024-08-04,13
2020,4,2020-04-06,SP,ANDRADINA,2024-08-04,1
2020,4,2020-04-13,ES,VILA VELHA,2024-08-04,4
2020,4,2020-04-14,SP,ARACATUBA,2024-08-04,1
2020,4,2020-04-09,SP,FRANCO DA ROCHA,2024-08-04,2
2020,4,2020-04-03,MG,RIO POMBA,2024-08-04,1
2020,4,2020-04-15,MS,NOVA ANDRADINA,2024-08-04,1
2020,3,2020-03-19,GO,CALDAS NOVAS,2024-08-04,1
2020,4,2020-04-15,SC,LAGUNA,2024-08-04,1
2020,4,2020-04-16,BA,SALVADOR,2024-08-04,46
2020,1,2020-01-03,AM,MANAUS,2024-08-04,5
2020,1,2020-01-12,SC,FLORIANOPOLIS,2024-08-04,1
2020,1,2020-01-07,MS,TRES LAGOAS,2024-08-04,1
2020,1,2020-01-04,SP,CAMPINAS,2024-08-04,1
2020,1,2020-01-16,SP,CATANDUVA,2024-08-04,1
2020,1,2020-01-23,SP,SAO JOSE DOS CAMPOS,2024-08-04,1
2020,1,2020-01-31,SP,SOROCABA,2024-08-04,1
2020,2,2020-02-26,CE,FORTALEZA,2024-08-04,3
2020,2,2020-02-24,MG,PATOS DE MINAS,2024-08-04,1
2020,3,2020-03-03,SC,FLORIANOPOLIS,2024-08-04,3
2020,2,2020-02-23,MT,CACERES,2024-08-04,1
2020,3,2020-03-05,SC,FLORIANOPOLIS,2024-08-04,2
2020,3,2020-03-02,SP,POA,2024-08-04,1
2020,3,2020-03-06,PR,CAMPO LARGO,2024-08-04,1
2020,3,2020-03-03,PA,RONDON DO PARA,2024-08-04,2
2020,3,2020-03-10,PA,RONDON DO PARA,2024-08-04,3
2020,3,2020-03-10,RS,PASSO FUNDO,2024-08-04,1
2020,3,2020-03-15,MG,UBERABA,2024-08-04,1
2020,3,2020-03-17,SP,PEREIRA BARRETO,2024-08-04,1
2020,3,2020-03-18,PB,JOAO PESSOA,2024-08-04,5
